"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","vid_id","SearchTerm_cacomistle","SearchTerm_ringtail_cat","SearchTerm_miners_cat","URL","Title","Uploader","Include_studyspecies","Filter_criteria","notes","ringtails_individuals","human_individuals","date_posted","date_recorded","direct feeding","provided_food_type","using human structure","natural foraging","natural_foraged_food_type","foraging human resources","foraged_hr_food_type","human wildlife conflict","activity","HumanInterface","location","latitude","longitude"
"340","qZe2A3OLees","2018-02-09T18:52:40.000Z","UCw79KgWV6vmYphtTzGAunvQ","RING-TAILED WILDS | Official Slot Game Video | Konami Gaming, Inc.","Check out the key features of Konami's ""Ring-Tailed Wilds"" 5-reel video slot, including: • 2x, 3x, and 5x Wild Multipliers • Free Game Feature • Bonus Free Game ...","https://i.ytimg.com/vi/qZe2A3OLees/default.jpg","120","90","https://i.ytimg.com/vi/qZe2A3OLees/mqdefault.jpg","320","180","https://i.ytimg.com/vi/qZe2A3OLees/hqdefault.jpg","480","360","Konami Gaming, Inc.","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"341","jSdDqAAPl8g","2008-09-29T02:59:44.000Z","UCnowgbgSf_xMxtqzczzmHVg","Feeding the ring-tailed lemurs","This is a video of my 5-year-old daughter having an Eye-2-Eye encounter with the ring-tailed lemurs at Hamilton Zoo. We got to go into the lemurs enclosure and ...","https://i.ytimg.com/vi/jSdDqAAPl8g/default.jpg","120","90","https://i.ytimg.com/vi/jSdDqAAPl8g/mqdefault.jpg","320","180","https://i.ytimg.com/vi/jSdDqAAPl8g/hqdefault.jpg","480","360","kmtvconz","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"342","rnX8yoSfi5U","2019-05-13T06:00:02.000Z","UC2Ignfd6_UuFPBsSHiUq2Cw","Ring tailed lemur and radiated tortoise 07 ワオキツネザルとホウシャガメ　【智光山公園こども動物園】","智光山公園こども動物園のワオキツネザルとホウシャガメです。 Ring-tailed Lemur and Radiated tortoiseat Chikozan zoo. ※かわいい動物の赤ちゃんや子供の再...","https://i.ytimg.com/vi/rnX8yoSfi5U/default.jpg","120","90","https://i.ytimg.com/vi/rnX8yoSfi5U/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rnX8yoSfi5U/hqdefault.jpg","480","360","max tv kidd","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"343","_iMpp9bTZwM","2017-09-06T18:07:11.000Z","UCshl_QmznJpo7EhDJu-9r7Q","Philadelphia Zoo Welcomes Baby Ring-Tailed Lemur","Philadelphia Zoo is pleased to welcome the newest member of our primate family, Dalia, a female ring-tailed lemur born to Iris and Cleveland on July 30.","https://i.ytimg.com/vi/_iMpp9bTZwM/default.jpg","120","90","https://i.ytimg.com/vi/_iMpp9bTZwM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/_iMpp9bTZwM/hqdefault.jpg","480","360","Philadelphia Zoo","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"344","GBoUVPqzxhQ","2018-12-26T11:28:28.000Z","UCBBFlgJtn9zH1Z70WuBhr6A","ringtail mural painting process","last month we have finished big mural painting indoor ""Ringtail Studios"" office.","https://i.ytimg.com/vi/GBoUVPqzxhQ/default.jpg","120","90","https://i.ytimg.com/vi/GBoUVPqzxhQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GBoUVPqzxhQ/hqdefault.jpg","480","360","Fishercat devlog","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"345","kwdcO1kVomM","2014-10-30T21:47:33.000Z","UCaxucaDNtIiX1w9VtRo3w2Q","Funny animals: Ring Tailed Lemurs","Subscribe to my channel for more videos of exotic animals :)","https://i.ytimg.com/vi/kwdcO1kVomM/default.jpg","120","90","https://i.ytimg.com/vi/kwdcO1kVomM/mqdefault.jpg","320","180","https://i.ytimg.com/vi/kwdcO1kVomM/hqdefault.jpg","480","360","Trevor Staubach","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"346","0XeDk1Ad9do","2013-02-01T14:28:21.000Z","UCyB7XZ_j7O0m-LgxgdrpfHw","かわいい！ストーブで暖まるワオキツネザル Ring-tailed lemur warms myself at a stove.","ストーブで暖まるワオキツネザルがとても可愛かったので･･･ 冬のモンキーパークにて撮影。 冬でも元気に走り姿も見れますよ♪ Ring-tailed...","https://i.ytimg.com/vi/0XeDk1Ad9do/default.jpg","120","90","https://i.ytimg.com/vi/0XeDk1Ad9do/mqdefault.jpg","320","180","https://i.ytimg.com/vi/0XeDk1Ad9do/hqdefault.jpg","480","360","inthelife","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"347","HT8-rSo-OwI","2015-05-26T13:04:25.000Z","UCNYRlIvXkemBOlxWttidg1A","Ringtail","Provided to YouTube by CDBaby Ringtail · Ken Stephenson Hoops ℗ 2012 Back Pocket Records Released on: 2012-07-14 Auto-generated by YouTube.","https://i.ytimg.com/vi/HT8-rSo-OwI/default.jpg","120","90","https://i.ytimg.com/vi/HT8-rSo-OwI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/HT8-rSo-OwI/hqdefault.jpg","480","360","Ken Stephenson - Topic","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"348","rdSa22-VJ40","2017-12-10T13:48:51.000Z","UCY64MDhLIEKhVUznVUFi3UQ","Ring-tailed Lemur Babies at Taronga Western Plains Zoo","Taronga Western Plains Zoo is proud to announce the arrival of not one, but two Ring-tailed Lemur babies! A male baby was born on September 1, 2017 to ...","https://i.ytimg.com/vi/rdSa22-VJ40/default.jpg","120","90","https://i.ytimg.com/vi/rdSa22-VJ40/mqdefault.jpg","320","180","https://i.ytimg.com/vi/rdSa22-VJ40/hqdefault.jpg","480","360","Chris Eastland","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"349","-dHSZVUvFII","2018-01-04T16:00:00.000Z","UCO8pJAhlhy0lVm5O0NzTfwg","Ring Tailed Lemur Singing Happy Birthday Email Birthday Card","Send Ring Tailed Lemur Singing Happy Birthday Email Birthday Card to friends family and loved ones for free! Urrmmm, it looks like it's someones birthday ...","https://i.ytimg.com/vi/-dHSZVUvFII/default.jpg","120","90","https://i.ytimg.com/vi/-dHSZVUvFII/mqdefault.jpg","320","180","https://i.ytimg.com/vi/-dHSZVUvFII/hqdefault.jpg","480","360","GreatBirthdayIdeas","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"350","5lw_yboxGGU","2018-08-06T20:25:20.000Z","UCgghcAs3FdlVUhaR18rzFqw","Pro Spec Imports &quot;Sniper Ring&quot; Tail Lights von Garniemand","Pro Spec Imports ""Sniper Ring"" Tail Lights - mehr Videos vom Benutzer unter https://www.toyota-supra.de/video/user-video/Garniemand.","https://i.ytimg.com/vi/5lw_yboxGGU/default.jpg","120","90","https://i.ytimg.com/vi/5lw_yboxGGU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5lw_yboxGGU/hqdefault.jpg","480","360","Supra Community","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"351","3kXBKPhaGWk","2017-08-01T18:54:00.000Z","UCE3VoxyYmyQCReOXk2ogsVg","Three Ring-Tailed Lemur Births in Three Days - Cincinnati Zoo","Cincinnati Zoo & Botanical Garden's ring-tailed lemur population just doubled after two young females, sent to the Zoo last year on a breeding recommendation ...","https://i.ytimg.com/vi/3kXBKPhaGWk/default.jpg","120","90","https://i.ytimg.com/vi/3kXBKPhaGWk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3kXBKPhaGWk/hqdefault.jpg","480","360","The Cincinnati Zoo & Botanical Garden","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"352","epYH8Q6W6i4","2016-10-04T20:49:53.000Z","UCmXB0UtSwadVZXhtbO81ORQ","Texas Ring tailed Cat in Austin","Spotted this Ringtail cat at a friends backyard BBQ during Monday night football.","https://i.ytimg.com/vi/epYH8Q6W6i4/default.jpg","120","90","https://i.ytimg.com/vi/epYH8Q6W6i4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/epYH8Q6W6i4/hqdefault.jpg","480","360","controlPHREEK","none",117,"no","yes","yes","https://www.youtube.com/watch?v=epYH8Q6W6i4","Texas Ring tailed Cat in Austin","controlPHREEK","yes",NA,"phone camera; in a tree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Austin, Texas",NA,NA
"353","5q2w9bbES6Q","2009-07-03T00:15:04.000Z","UC7RthR8umbfkZsw269e9mqQ","Ring-Tailed Mongoose (Galidia elegans) in Ranomafana National Park, Madagascar","Video of a ring-tailed mongoose (Galidia elegans) who came in search of leftovers after lunch at the research cabin in Ranomafana National Park, Madagascar.","https://i.ytimg.com/vi/5q2w9bbES6Q/default.jpg","120","90","https://i.ytimg.com/vi/5q2w9bbES6Q/mqdefault.jpg","320","180","https://i.ytimg.com/vi/5q2w9bbES6Q/hqdefault.jpg","480","360","Christina Bergey","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354","isFUFzytHao","2015-05-20T00:39:13.000Z","UCLAwhgIJt-k8BF0hFeLhvhg","Crested geckos and Ring-Tailed lemur","This is a video on some beautiful baby crested geckos and my amazing Ring-Tailed Lemur!","https://i.ytimg.com/vi/isFUFzytHao/default.jpg","120","90","https://i.ytimg.com/vi/isFUFzytHao/mqdefault.jpg","320","180","https://i.ytimg.com/vi/isFUFzytHao/hqdefault.jpg","480","360","Colby Teelucksingh","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355","FjEvhoHLA18","2015-03-15T21:07:46.000Z","UCL0-eKAc6RP8hf7mqLE_K3w","Toby the Ring Tailed Lemur grooms squirrel","Toby the ring tailed lemur grooming Merle the squirrel an orphan.","https://i.ytimg.com/vi/FjEvhoHLA18/default.jpg","120","90","https://i.ytimg.com/vi/FjEvhoHLA18/mqdefault.jpg","320","180","https://i.ytimg.com/vi/FjEvhoHLA18/hqdefault.jpg","480","360","sharon snider","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356","gAVqB5YoeB0","2017-04-09T11:58:21.000Z","UCLRG08rQ-gP42czr9zHMzRQ","Hanging out with ring-tailed lemurs","This video was taken at a zoo with a free roaming lemur enclosure. Ring-tailed lemurs are critically endangered and should never be kept as pets! These little ...","https://i.ytimg.com/vi/gAVqB5YoeB0/default.jpg","120","90","https://i.ytimg.com/vi/gAVqB5YoeB0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/gAVqB5YoeB0/hqdefault.jpg","480","360","Mathias","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"357","ofAXFPlFiC4","2016-02-15T12:29:04.000Z","UCH69FyQI723t2vyyxrrQE-Q","Lovely Ring - Tailed Coati Species Are Playing.","I visited a Zoo in Turkey and I saw a lot of animal breeds. One of them is Ring - Tailed Coati. They are very playful and sweet animals. :) Subscribe: ...","https://i.ytimg.com/vi/ofAXFPlFiC4/default.jpg","120","90","https://i.ytimg.com/vi/ofAXFPlFiC4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/ofAXFPlFiC4/hqdefault.jpg","480","360","Animal Breeds","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358","SQrvvRFDLnw","2019-05-09T09:24:10.000Z","UC06QCBAy-muAxMi5Zhe_NqQ","4 Colors Play Doh Clay Ring-tailed Lemur Animal | Clay art for kids","Together with children, with Kids Zone Play create clay modeling shapes animals, very lovely objects. This set of clay will help children play very happily and ...","https://i.ytimg.com/vi/SQrvvRFDLnw/default.jpg","120","90","https://i.ytimg.com/vi/SQrvvRFDLnw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/SQrvvRFDLnw/hqdefault.jpg","480","360","Kids Zone Play","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359","saiN5Em9UMA","2017-05-12T05:13:10.000Z","UCXS45XS5rDhtoVnA4rVl5cA","Ring-Tailed Lemur Monkey.Cute Monkey at Singapore Zoo.Endangered Species.Anokha Bandar","Ring-Tailed Lemur. Ring-Tailed Lemur Video. Ring-Tailed Lemur HD Video. Cute Monkey. Bandar. Bandar video. monkey video. monkey species. Endangered ...","https://i.ytimg.com/vi/saiN5Em9UMA/default.jpg","120","90","https://i.ytimg.com/vi/saiN5Em9UMA/mqdefault.jpg","320","180","https://i.ytimg.com/vi/saiN5Em9UMA/hqdefault.jpg","480","360","azad jain","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"360","3ozXVDkFPPw","2016-04-21T04:19:35.000Z","UCKXpVRDK92uObLftjwKEIQQ","Ring-Tailed Lemur Babies and Collared Lemur Baby | Bronx Zoo","http://bronxzoo.com Ring tailed lemurs (Lemur catta) and Brown collared lemurs (Eulemur collaris) live in a naturalistic habitat depicting the Malagasy Spiny ...","https://i.ytimg.com/vi/3ozXVDkFPPw/default.jpg","120","90","https://i.ytimg.com/vi/3ozXVDkFPPw/mqdefault.jpg","320","180","https://i.ytimg.com/vi/3ozXVDkFPPw/hqdefault.jpg","480","360","Wildlife Conservation Society","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361","X3fBhs-AI_4","2017-11-14T08:00:04.000Z","UCAhkSQlE6qw1UutURYoEZnw","Ring Tailed Lemur - Nose Tutorial - Pastel Pencils","In this video Colin shows demonstrates drawing a Baby Ring Tailed Lemur Nose. Join the membership to access all our animal lessons: http://goo.gl/3qiIqX ...","https://i.ytimg.com/vi/X3fBhs-AI_4/default.jpg","120","90","https://i.ytimg.com/vi/X3fBhs-AI_4/mqdefault.jpg","320","180","https://i.ytimg.com/vi/X3fBhs-AI_4/hqdefault.jpg","480","360","Colin Bradley Art","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362","A6WzI7U9gUI","2012-06-12T18:50:33.000Z","UCJNABzSdAZXJetMIwbXv1Hw","Close encounter with some friendly ring-tailed lemurs","On a visit to the nearby Wildlife Park, we had a surprise encounter with some very friendly ring-tailed lemurs. They have the softest fur you can imagine! And look ...","https://i.ytimg.com/vi/A6WzI7U9gUI/default.jpg","120","90","https://i.ytimg.com/vi/A6WzI7U9gUI/mqdefault.jpg","320","180","https://i.ytimg.com/vi/A6WzI7U9gUI/hqdefault.jpg","480","360","Andreas Heinakroon","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"363","YCjDPtS7o1A","2014-09-01T08:09:45.000Z","UCiBr0bK06imaMbLc8sAEz0A","Wild Family, Ring Tailed Lemur #03, 알락 꼬리여우 원숭이 20140808","Did you enjoy this video? Plz click ""like""! ☞ For more awesome videos, subscribe our channels!! Daily update available! 공식홈페이지 ...","https://i.ytimg.com/vi/YCjDPtS7o1A/default.jpg","120","90","https://i.ytimg.com/vi/YCjDPtS7o1A/mqdefault.jpg","320","180","https://i.ytimg.com/vi/YCjDPtS7o1A/hqdefault.jpg","480","360","MBCentertainment","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"364","yvv4KHR3aTk","2019-04-15T18:04:36.000Z","UC5AGoild_JzuOlfYv2fF6Jw","Ring-tailed lemurs with their babies at Zoopark Vilnius","","https://i.ytimg.com/vi/yvv4KHR3aTk/default.jpg","120","90","https://i.ytimg.com/vi/yvv4KHR3aTk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/yvv4KHR3aTk/hqdefault.jpg","480","360","Serpent_Lithuania","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"365","aI4fsbICI9o","2009-12-25T06:18:03.000Z","UCm5FeB1zmqD-8axjJ2cMzFA","Ring tailed lemur jumps","Jasper jumping from his cage to the corner of the bar and back. He's a 6 month old ring tailed lemur that we are fostering for are local zoo.","https://i.ytimg.com/vi/aI4fsbICI9o/default.jpg","120","90","https://i.ytimg.com/vi/aI4fsbICI9o/mqdefault.jpg","320","180","https://i.ytimg.com/vi/aI4fsbICI9o/hqdefault.jpg","480","360","Acacia Nix","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366","WWfc10nQ-mo","2011-01-27T20:22:04.000Z","UCBKnysnUEra5d78izRLAi2A","ETHOLOGY (Wiley-Blackwell): Male post-ejaculatory mounting in the ring-tailed lemur","Male mate guarding can take many forms but often involves aggression toward male conspecifics and continued proximity with a female. Parga, J. A. (2010) ...","https://i.ytimg.com/vi/WWfc10nQ-mo/default.jpg","120","90","https://i.ytimg.com/vi/WWfc10nQ-mo/mqdefault.jpg","320","180","https://i.ytimg.com/vi/WWfc10nQ-mo/hqdefault.jpg","480","360","WBLifeSciences","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
